"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12110","test_when_email_exists_then_shows_error_dialog","tests","Sun Nov 24 23:46:32 PST 2024","passed","Sun Nov 24 23:46:44 PST 2024","TestSignUp","test_sign_up","",""
"","16992","test_when_valid_credentials_then_show_verify_email","tests","Sun Nov 24 23:46:11 PST 2024","passed","Sun Nov 24 23:46:28 PST 2024","TestSignUp","test_sign_up","",""
"","9278","test_when_valid_email_then_reset_password_successful","tests","Sun Nov 24 23:45:58 PST 2024","passed","Sun Nov 24 23:46:07 PST 2024","TestSignIn","test_sign_in","",""
"","11624","test_when_valid_credentials_then_log_in_successfully","tests","Sun Nov 24 23:45:43 PST 2024","passed","Sun Nov 24 23:45:54 PST 2024","TestSignIn","test_sign_in","",""
